Timestamp,Node ID,X Position,Y Position,Speed,Distance DL,Distance UL,Throughput DL,Throughput UL,Spectral Efficiency DL,Spectral Efficiency UL,Fading DL,Fading UL,Useful Throughput DL,Throughput UL
0.1,0,48.4,76.76,13.72,90.74501418810843,90.74501418810843,34.855196760990324,13.214763925226151,17.427598380495166,12.97570247099126,0.5912488117443203,1.1514551938387456,24.05008576508332,9.118187108406044
0.1,1,42.23,98.4,14.35,107.07909646611705,107.07909646611705,40.01504967439734,11.890000072614523,20.00752483719867,12.308130797879455,0.951388442575609,0.9638417483553049,27.610384275334162,8.20410005010402
0.1,2,82.93,1.6,13.05,82.9454332679021,82.9454332679021,37.47165237500494,19.87347635841378,18.735826187502475,15.912488230671192,0.5702943064849069,1.3605779908705324,25.85544013875341,13.712698687305506
0.1,3,101.6,61.91,15.75,118.97650230192514,118.97650230192514,41.74172396024138,14.54986201547967,20.870861980120694,13.615406481686673,1.0968122969442373,1.0284102847177146,28.80178953256655,10.03940479068097
0.1,4,33.27,51.6,12.38,61.39587038229852,61.39587038229852,38.9050325915914,11.656226359384531,19.4525162957957,12.186532766267433,0.6829753336730682,0.7979120562431817,26.844472488198065,8.042796187975325
0.1,5,0.4,80.33,14.12,80.33099588577251,80.33099588577251,41.59270770761797,16.47319234746614,20.796353853808984,14.48738691257382,1.0489380374396793,1.0455786539715637,28.698968318256394,11.366502719751635
0.1,6,1.6,26.22,13.67,26.26877233522724,26.26877233522724,43.3108225540734,16.25441702839196,21.655411277036702,14.390864140367569,0.8130207397132022,0.7597069700506038,29.884467562310643,11.215547749590451
0.1,7,65.7,51.6,15.75,83.54070863956088,83.54070863956088,40.83142433871293,13.118380737337093,20.415712169356464,12.928296087248055,0.6803263726381392,0.9945210679199754,28.17368279371192,9.051682708762593
0.1,8,48.4,83.26,10.31,96.30569868912224,96.30569868912224,26.404334694322944,1.9424546082986207,13.202167347161474,4.974811317288207,0.9560828637661231,0.6408313010673553,18.21899093908283,1.3402936797260483
0.1,9,0.4,78.12,10.69,78.12102405882811,78.12102405882811,45.52360902707951,14.581150954043814,22.761804513539754,13.630038332898172,1.1731563621709522,0.4252248297649985,31.41129022868486,10.060994158290232
0.2,0,48.4,75.39,13.66,89.58912936288644,89.58912936288644,40.00596182598785,12.937356078728321,20.002980912993927,13.143290041289836,1.083070440994916,0.6543876038835752,27.604113659931617,8.92677569432254
0.2,1,43.66,98.4,14.29,107.65108266989236,107.65108266989236,43.4282237351958,14.874198780864962,21.7141118675979,14.09282687016369,1.3659563469369036,1.1075503388378085,29.9654743772851,10.263197158796823
0.2,2,81.63,1.6,12.99,81.64567900385175,81.64567900385175,42.8874583511322,17.824494515350473,21.443729175566105,15.42730044213348,1.4415189786157843,1.0958523838379415,29.592346262281218,12.298901215591826
0.2,3,101.6,63.48,15.69,119.80096159881188,119.80096159881188,40.828567462864854,12.63805433027687,20.414283731432427,12.990367427836276,1.2072473825356533,0.9971160967814081,28.171711549376745,8.72025748789104
0.2,4,32.04,51.6,12.32,60.73813958296714,60.73813958296714,43.617303167686984,21.984455256186813,21.808651583843492,17.133227457371294,0.9246198245262993,1.0987536594102445,30.095939185704015,15.169274126768899
0.2,5,0.4,78.93,14.06,78.93101354980817,78.93101354980817,47.049932096137425,10.52808255872843,23.524966048068713,11.856485296203147,1.540772404998669,0.9749612491994725,32.46445314633482,7.264376965522616
0.2,6,1.6,27.57,13.55,27.616388250457373,27.616388250457373,43.9680360828971,25.208614115691194,21.984018041448554,18.34660924460167,0.7110165743425043,1.5227062844887005,30.337944897198998,17.393943739826923
0.2,7,64.22,51.6,14.85,82.38184508737346,82.38184508737346,38.69011316058995,16.901553658323888,19.34505658029498,15.022583974760002,0.9944882847107084,1.0455242009582044,26.696178080807066,11.662072024243482
0.2,8,48.4,83.26,10.31,96.30569868912224,96.30569868912224,24.331893289202704,0.9558372986255647,12.165946644601352,3.57250884615718,1.0258319116137837,0.36198620468873355,16.789006369549863,0.6595277360516396
0.2,9,0.4,78.12,10.69,78.12102405882811,78.12102405882811,43.51341486899442,10.676599380736356,21.756707434497212,11.939820549078519,0.7762707487089965,0.94731767064022,30.024256259606144,7.366853572708085
0.3,0,48.4,74.03,13.6,88.4477297617073,88.4477297617073,42.33929522850284,14.23729292559788,21.16964761425142,13.664794293361666,0.7536869039469712,1.199199307536881,29.214113707666957,9.823732118662535
0.3,1,45.09,98.4,14.29,108.23893985068406,108.23893985068406,36.45176364384872,12.827257661825834,18.22588182192436,12.970487434705745,0.7707008559206425,0.6961342911522904,25.151716914255616,8.850807786659825
0.3,2,80.34,1.6,12.94,80.35593070831798,80.35593070831798,41.36061985827956,10.960075872659015,20.68030992913978,11.989364625873009,0.9644446261098909,0.48773105663937477,28.538827702212895,7.56245235213472
0.3,3,101.6,65.04,15.63,120.63482747531909,120.63482747531909,39.29075450007797,13.80126955956679,19.64537725003899,13.453922053628512,1.4082094123649593,0.7361199368776417,27.1106206050538,9.522875996101085
0.3,4,30.81,51.6,12.26,60.09838683359146,60.09838683359146,44.494257149219564,16.840667850454295,22.247128574609782,14.861718919244295,0.7203634142109706,1.4117994107796248,30.701037432961495,11.620060816813464
0.3,5,0.4,77.53,14.0,77.53103185176887,77.53103185176887,42.71836766703731,14.368795350284074,21.359183833518657,13.727756517455592,1.109275687487973,0.9204194322363657,29.475673690255743,9.914468791696011
0.3,6,1.6,28.88,13.1,28.924287372379634,28.924287372379634,47.86962115718374,21.21133955697582,23.93481057859187,16.67913163393965,0.9473977087045707,1.2867496392672393,33.03003859845678,14.635824294313315
0.3,7,62.82,51.6,13.95,81.29521757151524,81.29521757151524,42.67717627006693,11.042091798252763,21.338588135033465,12.03414014193871,1.2140244644277245,1.1408120931928654,29.44725162634618,7.619043340794406
0.3,8,48.4,83.26,10.31,96.30569868912224,96.30569868912224,26.34967128943111,7.912091843650397,13.174835644715557,10.186735927156603,1.4524416964983677,2.560987117395965,18.181273189707465,5.459343372118774
0.3,9,0.4,78.12,10.69,78.12102405882811,78.12102405882811,44.31910702969545,10.233444058846098,22.159553514847726,11.58511363353288,1.0267242846463127,0.4793418984881305,30.58018385048986,7.061076400603807
0.4,0,48.4,72.7,13.33,87.33756351078269,87.33756351078269,40.19374971073889,14.44168866126057,20.09687485536945,13.817332082305276,0.7354791973030794,1.1493933952572042,27.733687300409834,9.964765176269793
0.4,1,46.52,98.4,14.23,108.84241085165287,108.84241085165287,38.384620617752255,10.221996753785023,19.192310308876127,11.62473538387254,0.8695332389266865,0.7132260294706583,26.485388226249054,7.053177760111665
0.4,2,79.04,1.6,12.92,79.05619267331309,79.05619267331309,39.37674251188835,14.589575444295109,19.688371255944176,13.887898489405414,0.816657226408683,1.2708675021035367,27.16995233320296,10.066807056563624
0.4,3,101.6,66.61,15.62,121.48848546261493,121.48848546261493,36.08241752218115,12.171811097360607,18.041208761090576,12.685068249728774,0.8304172633935237,1.1935266115109326,24.896868090304995,8.398549657178817
0.4,4,29.59,51.6,12.25,59.48216623493129,59.48216623493129,37.339865224370286,16.857901633627744,18.669932612185143,14.928527211413027,0.8593961384436695,1.0340074178507221,25.764507004815496,11.631952127203142
0.4,5,0.4,76.13,13.99,76.13105082684724,76.13105082684724,39.94966766488842,15.086829104401971,19.974833832444215,14.122584822226301,0.7435900900550947,1.1787716598387095,27.56527068877301,10.40991208203736
0.4,6,1.6,30.15,12.65,30.192424546564656,30.192424546564656,46.66307985666026,15.130800519880172,23.33153992833013,14.143150383786583,0.9813576362787615,0.7677365285384281,32.19752510109558,10.440252358717318
