,Timestamp,Node ID,X Position,Y Position,Speed,Distance DL,Distance UL,Throughput DL,Throughput UL,Spectral Efficiency DL,Spectral Efficiency UL,Fading DL,Fading UL,Useful Throughput DL,Throughput UL.1
0,0.1,0.0,48.4,76.76,13.72,90.74501418810844,90.74501418810844,38.18858549348782,11.740746135339137,19.09429274674391,11.664715580065872,1.0158912581485866,0.9078090061630527,26.350123990506592,8.101114833384004
1,0.1,1.0,42.23,98.4,14.35,107.07909646611704,107.07909646611704,37.10388083051301,12.285171049733146,18.551940415256507,12.044517509513067,1.0033379356678795,1.022528176356814,25.60167777305398,8.47676802431587
2,0.1,2.0,82.93,1.6,13.05,82.9454332679021,82.9454332679021,38.49649670433657,13.074097815495424,19.248248352168286,12.557252102488697,0.9755346612298209,0.9460619362917984,26.562582725992232,9.021127492691843
3,0.1,3.0,101.6,61.91,15.75,118.97650230192514,118.97650230192514,37.02325210027657,10.943406797148876,18.511626050138286,11.272379793982294,1.093464132573434,0.9954837289637593,25.546043949190835,7.5509506900327255
4,0.1,4.0,33.27,51.6,12.38,61.39587038229851,61.39587038229851,38.97265985048943,14.504522910293382,19.486329925244714,13.132685002512602,1.0755304232887262,1.0953690405557175,26.891135296837703,10.008120808102435
5,0.1,5.0,0.4,80.33,14.12,80.33099588577251,80.33099588577251,37.08149536428467,12.104586373565253,18.540747682142335,11.900712986661283,1.021289346692109,0.9967213489530837,25.58623180135642,8.352164597760023
6,0.1,6.0,1.6,26.22,13.67,26.26877233522724,26.26877233522724,44.639093417035404,20.052247090172962,22.319546708517702,15.647838400253441,0.9176348758918337,0.8728833722265773,30.800974457754428,13.836050492219343
7,0.1,7.0,65.7,51.6,15.75,83.54070863956088,83.54070863956088,36.931130669012234,12.78662750054283,18.465565334506117,12.290703930312002,1.0172273207292177,1.070684502106458,25.48248016161844,8.822772975374551
8,0.1,8.0,48.4,83.26,10.31,96.30569868912224,96.30569868912224,36.533062671500026,12.46564110564933,18.266531335750017,12.088417616243174,1.065289659693191,1.152489147678768,25.207813243335018,8.601292362898038
9,0.1,9.0,0.4,78.12,10.69,78.12102405882811,78.12102405882811,36.89363369898701,12.022211821992185,18.446816849493505,11.792592850186232,1.0089835880815803,0.9480399148908433,25.456607252301037,8.295326157174607
10,0.2,0.0,48.4,75.39,13.66,89.58912936288644,89.58912936288644,37.63341473475431,12.462146650238019,18.816707367377155,12.264781384036963,1.04032523120916,0.9897713611142321,25.967056166980473,8.598881188664233
11,0.2,1.0,43.66,98.4,14.29,107.65108266989238,107.65108266989238,37.560740827483194,11.992488470756184,18.7803704137416,11.907282933022945,1.0518814614422471,0.9908888451944097,25.916911170963402,8.274817044821766
12,0.2,2.0,81.63,1.6,12.99,81.64567900385175,81.64567900385175,39.23162922385757,13.96780557612297,19.615814611928784,13.000255836790192,1.0876919017664082,1.0156236000226428,27.069824164461718,9.63778584752485
13,0.2,3.0,101.6,63.48,15.69,119.80096159881188,119.80096159881188,37.237211273459366,10.43481784121436,18.618605636729683,11.044480733398846,1.2431708344417696,0.953987529361336,25.69367577868696,7.200024310437907
14,0.2,4.0,32.04,51.6,12.32,60.73813958296714,60.73813958296714,38.99429914041389,14.747457458332656,19.497149570206943,13.261351426992942,0.9274057349715932,1.045631527006958,26.906066406885582,10.175745646249533
15,0.2,5.0,0.4,78.93,14.06,78.93101354980817,78.93101354980817,36.81180206586765,13.041416640199799,18.405901032933826,12.447059710429533,0.9945970902707267,1.1322759477472455,25.400143425448675,8.99857748173786
16,0.2,6.0,1.6,27.57,13.55,27.61638825045737,27.61638825045737,45.03282604836482,21.342352377154747,22.51641302418241,16.245361937788434,1.0361069485025787,1.0996357649400355,31.072649973371725,14.726223140236774
17,0.2,7.0,64.22,51.6,14.85,82.38184508737346,82.38184508737346,37.15780838051437,12.071919516003149,18.578904190257187,11.951210775661941,1.0603223633259125,1.0132737960851017,25.638887782554914,8.329624466042173
18,0.2,8.0,48.4,83.26,10.31,96.30569868912224,96.30569868912224,36.71429148065768,11.527921494027542,18.357145740328843,11.582628079494675,1.0366101783864583,1.0058366959990832,25.3328611216538,7.954265830879003
19,0.2,9.0,0.4,78.12,10.69,78.12102405882811,78.12102405882811,37.80164777338214,12.031872012002163,18.90082388669107,11.888446243395903,1.1689574641940566,1.0712726979388534,26.083136963633674,8.301991688281491
20,0.3,0.0,48.4,74.03,13.6,88.4477297617073,88.4477297617073,37.62261864349046,12.000040161050403,18.811309321745235,12.074301867824806,0.9948308679861082,1.0143968505311767,25.959606864008418,8.280027711124777
21,0.3,1.0,45.09,98.4,14.29,108.23893985068405,108.23893985068405,37.22441192264559,11.848021220725087,18.612205961322793,11.860741425298333,0.9569568048105928,0.9459276770203774,25.68484422662545,8.175134642300309
22,0.3,2.0,80.34,1.6,12.94,80.35593070831798,80.35593070831798,39.282323191245546,13.537107901981285,19.641161595622773,12.822057521957099,0.9817519173187623,0.9975956030768928,27.104803001959418,9.340604452367087
23,0.3,3.0,101.6,65.04,15.63,120.6348274753191,120.6348274753191,37.098077089062684,11.708896042477253,18.549038544531342,11.826307592662047,1.0987288135358826,1.0361464630781414,25.597673191453254,8.079138269309304
24,0.3,4.0,30.81,51.6,12.26,60.09838683359146,60.09838683359146,39.379824862468745,14.86853274145661,19.689912431234372,13.434419037828253,0.9778534719342554,1.0680621979914453,27.172079155103436,10.25928759160506
